samples,computations,losses
360000,3600.0,0.270044624209404
361000,3610.0,0.270031498670578
362000,3620.0,0.2700666329264641
363000,3630.0,0.26999288752675055
364000,3640.0,0.26999186307191847
365000,3650.0,0.26998070895671844
366000,3660.0,0.27004157125949857
367000,3670.0,0.2699274337291718
368000,3680.0,0.2699622783064842
369000,3690.0,0.27000422090291976
370000,3700.0,0.2699281188845635
371000,3710.0,0.26993084520101546
372000,3720.0,0.26988858729600906
373000,3730.0,0.26994367271661757
374000,3740.0,0.2700987832248211
375000,3750.0,0.2700422355532646
376000,3760.0,0.26998604625463485
377000,3770.0,0.2700065979361534
378000,3780.0,0.26999623715877535
379000,3790.0,0.26996413618326187
380000,3800.0,0.270009728372097
381000,3810.0,0.26997587889432906
382000,3820.0,0.2700117725133896
383000,3830.0,0.26992658197879793
384000,3840.0,0.26988398045301437
385000,3850.0,0.2699035984277725
386000,3860.0,0.2699644273519516
387000,3870.0,0.27004547327756884
388000,3880.0,0.2700191605091095
389000,3890.0,0.2700381696224213
390000,3900.0,0.2699883532524109
391000,3910.0,0.2700701257586479
392000,3920.0,0.27002242594957354
393000,3930.0,0.2699556188285351
394000,3940.0,0.2699141728878021
395000,3950.0,0.27000351503491404
396000,3960.0,0.2699940770864487
397000,3970.0,0.27003309071063997
398000,3980.0,0.26999394208192823
399000,3990.0,0.26996788665652277
400000,4000.0,0.27001198023557665
401000,4010.0,0.2699523827433586
402000,4020.0,0.26995708227157594
403000,4030.0,0.269951032102108
404000,4040.0,0.2699431148171425
405000,4050.0,0.26990160256624224
406000,4060.0,0.26992238849401473
407000,4070.0,0.26993748784065247
408000,4080.0,0.26991686433553697
409000,4090.0,0.26992188066244127
410000,4100.0,0.26998251348733904
411000,4110.0,0.2699877256155014
412000,4120.0,0.2699588942527771
413000,4130.0,0.2699591127038002
414000,4140.0,0.2699355322122574
415000,4150.0,0.2699221843481064
416000,4160.0,0.26991462379693987
417000,4170.0,0.26998849302530287
418000,4180.0,0.26996366411447525
419000,4190.0,0.26993118315935133
420000,4200.0,0.27006226003170014
421000,4210.0,0.27000625103712084
422000,4220.0,0.2699310097098351
423000,4230.0,0.2699805670976639
424000,4240.0,0.26998742163181305
425000,4250.0,0.26992930442094804
426000,4260.0,0.26998102068901064
427000,4270.0,0.26994903713464735
428000,4280.0,0.26994828909635543
429000,4290.0,0.2699077597260475
430000,4300.0,0.2698715877532959
431000,4310.0,0.2699018824100494
432000,4320.0,0.2699021089076996
433000,4330.0,0.26988337755203246
434000,4340.0,0.2699456065893173
435000,4350.0,0.2699053072929382
436000,4360.0,0.26988756358623506
437000,4370.0,0.26987144857645035
438000,4380.0,0.2699108222126961
439000,4390.0,0.2698629230260849
440000,4400.0,0.2698942494392395
441000,4410.0,0.26991638481616975
442000,4420.0,0.2699987581372261
443000,4430.0,0.2698978102207184
444000,4440.0,0.2699069333076477
445000,4450.0,0.26995102018117906
446000,4460.0,0.26995495975017547
447000,4470.0,0.2699585795402527
448000,4480.0,0.2699189627170563
449000,4490.0,0.2699403890967369
450000,4500.0,0.2699286487698555
451000,4510.0,0.2699718651175499
452000,4520.0,0.270001704543829
453000,4530.0,0.26994443595409395
