computations_done_times_samples,losses
796800,-0.004601019900292158
797100,-0.004602539353072643
797400,-0.004593720193952322
797700,-0.00459638424217701
798000,-0.004593679681420326
798300,-0.004590892232954502
798600,-0.004593396093696356
798900,-0.004595497623085976
799200,-0.004595587961375713
799500,-0.0046038273721933365
799800,-0.004601323511451483
800100,-0.004603148903697729
800400,-0.004606883507221937
800700,-0.004604271613061428
801000,-0.0046008131466805935
801300,-0.004600668791681528
801600,-0.0046004983596503735
801900,-0.004598715808242559
802200,-0.004608107730746269
802500,-0.0046098013408482075
802800,-0.004597961902618408
803100,-0.004608532413840294
803400,-0.004618499893695116
803700,-0.0046228631399571896
804000,-0.004626873880624771
804300,-0.0046270545572042465
804600,-0.0046161990612745285
804900,-0.0046134633012115955
805200,-0.004633184522390366
805500,-0.004606995265930891
805800,-0.004630771465599537
806100,-0.004635471384972334
806400,-0.004641029518097639
806700,-0.004639987833797932
807000,-0.004645863082259893
807300,-0.004624252673238516
807600,-0.004668140318244696
807900,-0.004671614617109299
808200,-0.004673991352319717
808500,-0.00468214089050889
808800,-0.00468254741281271
809100,-0.0046870228834450245
809400,-0.004695890937000513
809700,-0.004676630720496178
810000,-0.004683985840529203
810300,-0.004695456940680742
810600,-0.004699576646089554
810900,-0.004707575310021639
811200,-0.004709495697170496
811500,-0.004706313367933035
811800,-0.004694104194641113
812100,-0.004682823549956083
812400,-0.004688567016273737
812700,-0.004699565935879946
813000,-0.0046966178342700005
813300,-0.0046898191794753075
813600,-0.0046819052658975124
813900,-0.004690247587859631
814200,-0.004694698378443718
814500,-0.0047024693340063095
814800,-0.004703105892986059
815100,-0.004689166788011789
815400,-0.004710108507424593
815700,-0.004722078330814838
816000,-0.004734821617603302
816300,-0.004679419565945864
816600,-0.0047460878267884254
816900,-0.004755024798214436
817200,-0.004755490925163031
817500,-0.004747002851217985
817800,-0.004711499437689781
818100,-0.004753574263304472
818400,-0.004760183859616518
818700,-0.00476817274466157
819000,-0.004765062127262354
819300,-0.00475174468010664
819600,-0.004762127064168453
819900,-0.004752680659294128
820200,-0.004744193982332945
820500,-0.0047481851652264595
820800,-0.004734620917588472
821100,-0.004737389739602804
821400,-0.0047461832873523235
821700,-0.004741369280964136
822000,-0.004752773325890303
822300,-0.004774475935846567
822600,-0.004782236646860838
822900,-0.0047842939384281635
823200,-0.004794299602508545
823500,-0.0047974311746656895
823800,-0.004797784611582756
824100,-0.004801854491233826
824400,-0.004795752000063658
824700,-0.004810091108083725
825000,-0.004809405189007521
825300,-0.0048137241974473
825600,-0.004833563230931759
825900,-0.004828401375561953
826200,-0.004820702131837606
826500,-0.004829361569136381
826800,-0.004827037453651428
827100,-0.004835248924791813
827400,-0.004838478751480579
827700,-0.004825354553759098
828000,-0.004844603128731251
828300,-0.004843343514949083
828600,-0.004839809145778418
828900,-0.004854192491620779
829200,-0.004855059087276459
829500,-0.004842073656618595
829800,-0.004853553604334593
830100,-0.004851456731557846
830400,-0.0048504723235964775
830700,-0.004855771083384752
831000,-0.004861722234636545
831300,-0.004860364831984043
831600,-0.004863371606916189
831900,-0.004866464529186487
832200,-0.004860369488596916
832500,-0.004844611510634422
832800,-0.004845262039452791
833100,-0.004858199506998062
833400,-0.004846129100769758
833700,-0.00487111322581768
834000,-0.004882331937551498
834300,-0.004887282382696867
834600,-0.0048877522349357605
834900,-0.004877122119069099
835200,-0.004891189746558666
835500,-0.004886143375188112
835800,-0.004889362491667271
836100,-0.004887683782726526
836400,-0.004890518728643656
836700,-0.004886991810053587
837000,-0.004875588696449995
837300,-0.004885829519480467
837600,-0.00488359434530139
837900,-0.004882017150521278
838200,-0.004890767391771078
838500,-0.004890706855803728
838800,-0.004892920609563589
839100,-0.004903146531432867
839400,-0.004895130638033152
839700,-0.004896077327430248
840000,-0.004898061975836754
840300,-0.004886244423687458
840600,-0.004886440467089415
840900,-0.004897821228951216
841200,-0.004914926365017891
841500,-0.004923680331557989
841800,-0.004921062383800745
842100,-0.004903652239590883
842400,-0.004923827946186066
842700,-0.004904625471681356
843000,-0.0049212779849767685
843300,-0.004921968560665846
843600,-0.00491025485098362
843900,-0.004918939433991909
844200,-0.004921612795442343
844500,-0.004922689404338598
844800,-0.00492732273414731
845100,-0.004933113232254982
845400,-0.004928148817270994
845700,-0.004915978293865919
846000,-0.004931574687361717
846300,-0.0049302601255476475
846600,-0.004934465046972036
846900,-0.0049427528865635395
847200,-0.004955661483108997
847500,-0.0049556465819478035
847800,-0.004966073669493198
848100,-0.0049569206312298775
848400,-0.0049673872999846935
848700,-0.004972569644451141
849000,-0.004968792665749788
849300,-0.004976800177246332
849600,-0.004969344008713961
849900,-0.004952301271259785
850200,-0.004955739248543978
850500,-0.004962352570146322
850800,-0.004969326313585043
851100,-0.004964227322489023
851400,-0.004960932303220034
851700,-0.004962780978530645
852000,-0.004963250830769539
852300,-0.0049783578142523766
852600,-0.004988884087651968
