samples,computations,losses,grad_norms,least_eig
33000,1500,0.2799120873212814,0.07179208,0.082591213285923
33110,1505,0.27985461950302126,0.08487996,0.07457660883665085
33220,1510,0.2797668695449829,0.06480876,0.06056712567806244
33330,1515,0.27970062792301176,0.090287596,0.10478223860263824
33440,1520,0.27960445880889895,0.076876335,0.10341568291187286
33550,1525,0.2795316815376282,0.07932921,0.08595230430364609
33660,1530,0.2794540137052536,0.070849255,0.08433247357606888
33770,1535,0.279375883936882,0.0690433,0.09955330938100815
33880,1540,0.2792932540178299,0.073641375,0.11207766085863113
33990,1545,0.27922539710998534,0.08599362,0.005045533645898104
34100,1550,0.2791611850261688,0.07835182,0.09854806959629059
34210,1555,0.2790857940912247,0.07164766,0.11645178496837616
34320,1560,0.2790071338415146,0.069992825,0.08986659348011017
34430,1565,0.27894301414489747,0.07011645,0.0686570256948471
34540,1570,0.27887319028377533,0.0637273,0.07745912671089172
34650,1575,0.27879659831523895,0.069223896,0.06541676819324493
34760,1580,0.27873118221759796,0.06293631,0.07393097877502441
34870,1585,0.27866331338882444,0.06956736,0.09120003879070282
34980,1590,0.2785913795232773,0.06540775,0.08049993216991425
35090,1595,0.2785401254892349,0.081167154,0.006567435804754496
35200,1600,0.27847287654876707,0.08601341,0.09069639444351196
35310,1605,0.2784103125333786,0.061145518,0.0152659947052598
35420,1610,0.2783476561307907,0.0637816,0.07978320121765137
35530,1615,0.278285539150238,0.091207206,0.06422944366931915
35640,1620,0.2782049745321274,0.07077457,0.09181559830904007
35750,1625,0.2781422436237335,0.077772975,0.08409981429576874
35860,1630,0.2780845671892166,0.07018771,0.07592117786407471
35970,1635,0.27800949215888976,0.06527992,0.04507535696029663
36080,1640,0.27796034812927245,0.072262906,0.07385937124490738
36190,1645,0.2778963506221771,0.058734074,0.03910526633262634
36300,1650,0.2778553366661072,0.06724123,0.05715504661202431
36410,1655,0.2777908742427826,0.077660605,0.07228504121303558
36520,1660,0.27772451341152193,0.06768888,0.04585687816143036
36630,1665,0.27766954004764555,0.063165575,0.08654408901929855
36740,1670,0.2776259511709213,0.086518124,0.08854804933071136
36850,1675,0.27756117582321166,0.090996906,0.11009440571069717
36960,1680,0.27751587629318236,0.07169536,0.07901998609304428
37070,1685,0.2774558812379837,0.070769235,0.05180445685982704
37180,1690,0.27740282118320464,0.059929077,0.07322432845830917
37290,1695,0.27733997702598573,0.06396417,0.0886969119310379
37400,1700,0.27729451954364776,0.071463525,0.09263896942138672
37510,1705,0.2772422283887863,0.05908248,0.06040780991315842
37620,1710,0.27720095217227936,0.07147733,0.06977028399705887
